"name"	"taxRank"	"taxID"	"Max"	"barcode01.cladeReads"	"barcode02.cladeReads"	"barcode03.cladeReads"	"barcode04.cladeReads"	"barcode05.cladeReads"	"lineage"
"Clostridium argentinense"	"S"	29341	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium carboxidivorans><wbr>Clostridium carboxidivorans P7"	"-"	536227	1	1	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium>Clostridium&nbsp;carboxidivorans"
"Clostridium beijerinckii"	"S"	1520	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium taeniosporum"	"S"	394958	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Lachnospiraceae><wbr>...><wbr>[Clostridium] saccharolyticum WM1"	"-"	610130	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium>[Clostridium]&nbsp;saccharolyticum"
"Lachnospiraceae><wbr>Lachnoclostridium><wbr>Lachnoclostridium sp. YL32"	"S"	1834196	1	1	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium"
"Peptostreptococcaceae><wbr>...><wbr>Peptoclostridium acidaminophilum DSM 3953"	"-"	1286171	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae>Peptoclostridium>Peptoclostridium&nbsp;acidaminophilum"
"Peptostreptococcaceae><wbr>Clostridioides><wbr>Clostridioides difficile"	"S"	1496	2	1	2	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae>Clostridioides"
"Clostridia><wbr>...><wbr>Thermoanaerobacterium thermosaccharolyticum"	"S"	1517	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Thermoanaerobacterium"
"Tissierellia><wbr>...><wbr>[Clostridium] ultunense Esp"	"-"	1288971	1	1	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales>Tissierellaceae>[Clostridium]&nbsp;ultunense"
"Cyanobacteria/Melainabacteria group><wbr>Cyanobacteria"	"P"	1117	8	8	8	4	3	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Nostocales"	"O"	1161	5	4	5	1	2	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Nostocaceae><wbr>Nostoc"	"G"	1177	3	1	3	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
"Nostoc sp. 'Peltigera membranacea cyanobiont' N6"	"S"	1261031	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Nostocaceae><wbr>...><wbr>Cylindrospermum stagnale PCC 7417"	"-"	56107	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Cylindrospermum>Cylindrospermum&nbsp;stagnale"
"Nostocaceae><wbr>...><wbr>'Nostoc azollae' 0708"	"-"	551115	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Trichormus>Trichormus&nbsp;azollae"
"Oscillatoriophycideae><wbr>...><wbr>Cyanobacterium aponinum PCC 10605"	"-"	755178	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Cyanobacteriaceae>Cyanobacterium>Cyanobacterium&nbsp;aponinum"
"Oscillatoriophycideae><wbr>...><wbr>Cyanothece sp. PCC 7822"	"S"	497965	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae>Cyanothece"
"Synechococcales><wbr>...><wbr>Prochlorococcus marinus subsp. pastoris str. CCMP1986"	"-"	59919	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus>Prochlorococcus&nbsp;marinus&nbsp;subsp.&nbsp;pastoris"
"Synechococcales><wbr>...><wbr>Prochlorococcus marinus str. MIT 9301"	"-"	167546	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"Actinobacteria><wbr>...><wbr>Arthrobacter sp. PAMC25564"	"S"	2565366	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Arthrobacter"
"Actinobacteria><wbr>...><wbr>Kocuria palustris"	"S"	71999	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Kocuria"
"Actinobacteria><wbr>...><wbr>Actinobacteria bacterium IMCC26256"	"S"	1650658	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>unclassified&nbsp;Actinobacteria&nbsp;(class)>unclassified&nbsp;Actinobacteria&nbsp;(class)&nbsp;(miscellaneous)"
"Actinobacteria><wbr>...><wbr>Bifidobacterium thermophilum RBL67"	"-"	1254439	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;thermophilum"
"Actinobacteria><wbr>...><wbr>Streptomyces"	"G"	1883	3	1	3	NA	1	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Streptomyces lunaelactis"	"S"	1535768	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Tenericutes><wbr>...><wbr>Spiroplasma"	"G"	2132	3	2	3	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae"
"Spiroplasma citri"	"S"	2133	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma"
"Tenericutes><wbr>...><wbr>Mesoplasma entomophilum"	"S"	2149	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Entomoplasmataceae>Mesoplasma"
"Tenericutes><wbr>...><wbr>Mycoplasma"	"G"	2093	3	1	3	3	2	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae"
"Mycoplasma phocirhinis"	"S"	142650	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma"
"FCB group><wbr>...><wbr>Flavobacterium indicum GPTSA100-9 = DSM 17447"	"-"	1094466	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flavobacterium>Flavobacterium&nbsp;indicum"
"FCB group><wbr>...><wbr>Flavobacterium faecale"	"S"	1355330	11	1	5	11	NA	4	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flavobacterium"
"FCB group><wbr>...><wbr>Chryseobacterium"	"G"	59732	4	2	4	4	1	3	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Chryseobacterium shandongense"	"S"	1493872	1	1	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Chryseobacterium"
"Chryseobacterium taklimakanense"	"S"	536441	1	1	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Chryseobacterium"
"FCB group><wbr>...><wbr>Lacinutrix sp. 5H-3-7-4"	"S"	983544	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Lacinutrix"
"FCB group><wbr>...><wbr>Seonamhaeicola sp. S2-3"	"S"	1936081	1	1	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Seonamhaeicola"
"FCB group><wbr>...><wbr>Elizabethkingia anophelis"	"S"	1117645	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Elizabethkingia"
"FCB group><wbr>...><wbr>Polaribacter sp. MED152"	"S"	313598	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter"
"FCB group><wbr>...><wbr>Kordia sp. SMS9"	"S"	2282170	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Kordia"
"FCB group><wbr>...><wbr>Nonlabens sp. Hel1_33_55"	"S"	1336802	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Nonlabens"
"FCB group><wbr>...><wbr>Pedobacter cryoconitis"	"S"	188932	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter"
"FCB group><wbr>...><wbr>Mucilaginibacter paludis DSM 18603"	"-"	714943	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter>Mucilaginibacter&nbsp;paludis"
"FCB group><wbr>...><wbr>Alistipes shahii WAL 8301"	"-"	717959	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes>Alistipes&nbsp;shahii"
"FCB group><wbr>...><wbr>Barnesiella viscericola DSM 18177"	"-"	880074	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Barnesiellaceae>Barnesiella>Barnesiella&nbsp;viscericola"
"FCB group><wbr>...><wbr>Runella sp. SP2"	"S"	2268026	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"FCB group><wbr>...><wbr>Cytophagales bacterium TFI 002"	"S"	1945892	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>unclassified&nbsp;Cytophagales>unclassified&nbsp;Cytophagales&nbsp;(miscellaneous)"
"FCB group><wbr>...><wbr>Flavisolibacter tropicus"	"S"	1492898	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Chitinophagia>Chitinophagales>Chitinophagaceae>Flavisolibacter"
"Fusobacteria><wbr>...><wbr>Fusobacterium"	"G"	848	3	1	1	3	2	NA	"cellular&nbsp;organisms>Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Fusobacteriaceae"
"Acidobacteria><wbr>...><wbr>Terriglobus roseus"	"S"	392734	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Acidobacteria>Acidobacteriia>Acidobacteriales>Acidobacteriaceae>Terriglobus"
"Deferribacteres><wbr>...><wbr>Deferribacter desulfuricans SSM1"	"-"	639282	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Deferribacteres>Deferribacteres>Deferribacterales>Deferribacteraceae>Deferribacter>Deferribacter&nbsp;desulfuricans"
"Viruses><wbr>...><wbr>Lumpy skin disease virus NI-2490"	"-"	376849	1	1	NA	NA	NA	NA	"Viruses>Poxviridae>Chordopoxvirinae>Capripoxvirus>Lumpy&nbsp;skin&nbsp;disease&nbsp;virus"
"Viruses><wbr>...><wbr>Adoxophyes honmai entomopoxvirus 'L'"	"-"	1293540	1	1	NA	NA	NA	NA	"Viruses>Poxviridae>Entomopoxvirinae>Betaentomopoxvirus>Adoxophyes&nbsp;honmai&nbsp;entomopoxvirus"
"Viruses><wbr>...><wbr>Acanthamoeba polyphaga mimivirus"	"S"	212035	1	1	NA	NA	NA	NA	"Viruses>Mimiviridae>Mimivirus"
"Opisthokonta><wbr>...><wbr>Pyrenophora tritici-repentis"	"S"	45151	2	NA	2	NA	NA	1	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>dothideomyceta>Dothideomycetes>Pleosporomycetidae>Pleosporales>Pleosporineae>Pleosporaceae>Pyrenophora"
"Opisthokonta><wbr>...><wbr>Neurospora crassa OR74A"	"-"	367110	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Sordariomycetes>Sordariomycetidae>Sordariales>Sordariaceae>Neurospora>Neurospora&nbsp;crassa"
"Opisthokonta><wbr>...><wbr>Pyricularia oryzae 70-15"	"-"	242507	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Sordariomycetes>Sordariomycetidae>Magnaporthales>Pyriculariaceae>Pyricularia>Pyricularia&nbsp;oryzae"
"Opisthokonta><wbr>...><wbr>Aspergillus oryzae RIB40"	"-"	510516	1	NA	1	1	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>Eurotiomycetes>Eurotiomycetidae>Eurotiales>Aspergillaceae>Aspergillus>Aspergillus&nbsp;oryzae"
"Opisthokonta><wbr>...><wbr>Naumovozyma dairenensis CBS 421"	"-"	1071378	1	NA	1	NA	1	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Saccharomycetaceae>Naumovozyma>Naumovozyma&nbsp;dairenensis"
"Candida orthopsilosis><wbr>Candida orthopsilosis Co 90-125"	"-"	1136231	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Debaryomycetaceae>Candida/Lodderomyces&nbsp;clade>Candida>Candida&nbsp;orthopsilosis"
"unclassified Enterobacteriaceae><wbr>...><wbr>Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri"	"S"	1505596	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>ant&nbsp;endosymbionts>Candidatus&nbsp;Blochmannia>unclassified&nbsp;Candidatus&nbsp;Blochmannia&nbsp;endosymbionts"
"unclassified Enterobacteriaceae><wbr>...><wbr>Candidatus Hamiltonella defensa"	"S"	138072	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>aphid&nbsp;secondary&nbsp;symbionts>Candidatus&nbsp;Hamiltonella"
"Klebsiella><wbr>Klebsiella pneumoniae"	"S"	573	1	NA	1	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella"
"Serratia marcescens WW4"	"-"	435998	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia>Serratia&nbsp;marcescens"
"Serratia sp. FDAARGOS_506"	"S"	2420306	2	NA	2	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Serratia fonticola"	"S"	47917	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Erwiniaceae><wbr>...><wbr>Buchnera aphidicola str. Ua (Uroleucon ambrosiae)"	"-"	1005057	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Buchnera>Buchnera&nbsp;aphidicola>Buchnera&nbsp;aphidicola&nbsp;(Uroleucon&nbsp;ambrosiae)"
"Stenotrophomonas sp. Pemsol"	"S"	2040586	6	NA	3	6	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae>Stenotrophomonas"
"Xanthomonadales><wbr>...><wbr>Rhodanobacter denitrificans"	"S"	666685	1	NA	1	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae>Rhodanobacter"
"Vibrio harveyi group><wbr>Vibrio rotiferianus"	"S"	190895	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>Vibrio&nbsp;harveyi&nbsp;group"
"Vibrionales><wbr>...><wbr>Photobacterium damselae subsp. piscicida"	"-"	38294	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae>Photobacterium>Photobacterium&nbsp;damselae"
"Vibrionales><wbr>...><wbr>Photobacterium gaetbulicola Gung47"	"-"	658445	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae>Photobacterium>Photobacterium&nbsp;gaetbulicola"
"Acinetobacter sp. ACNIH1"	"S"	1636603	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Acinetobacter"
"Pseudomonas aeruginosa group><wbr>Pseudomonas citronellolis"	"S"	53408	1	NA	1	1	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;aeruginosa&nbsp;group"
"Legionellales><wbr>...><wbr>Legionella spiritensis"	"S"	452	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales>Legionellaceae>Legionella"
"Oceanospirillales><wbr>...><wbr>Halomonas sp. KO116"	"S"	1504981	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae>Halomonas"
"Pasteurellales><wbr>...><wbr>Haemophilus parainfluenzae T3T1"	"-"	862965	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Haemophilus>Haemophilus&nbsp;parainfluenzae"
"Campylobacteraceae><wbr>...><wbr>Arcobacter thereius LMG 24486"	"-"	1032240	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter>Arcobacter&nbsp;thereius"
"Campylobacteraceae><wbr>...><wbr>Arcobacter ellisii"	"S"	913109	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"Campylobacteraceae><wbr>...><wbr>Campylobacter fetus subsp. testudinum"	"-"	1507806	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter>Campylobacter&nbsp;fetus"
"Campylobacteraceae><wbr>Campylobacter><wbr>Campylobacter lari"	"S"	201	1	NA	1	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter"
"Campylobacter lari RM16701"	"-"	1453989	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter>Campylobacter&nbsp;lari"
"Campylobacteraceae><wbr>Campylobacter><wbr>Campylobacter gracilis"	"S"	824	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter"
"Campylobacteraceae><wbr>Campylobacter><wbr>Campylobacter iguaniorum"	"S"	1244531	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter"
"Campylobacteraceae><wbr>...><wbr>Sulfurospirillum multivorans DSM 12446"	"-"	1150621	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Sulfurospirillum>Sulfurospirillum&nbsp;multivorans"
"Burkholderia gladioli"	"S"	28095	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Betaproteobacteria><wbr>...><wbr>Pandoraea pulmonicola"	"S"	93221	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Pandoraea"
"Betaproteobacteria><wbr>...><wbr>Janthinobacterium sp. B9-8"	"S"	1236179	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
"Betaproteobacteria><wbr>...><wbr>Comamonas serinivorans"	"S"	1082851	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Betaproteobacteria><wbr>...><wbr>Sulfuritalea hydrogenivorans sk43H"	"-"	1223802	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Sterolibacteriaceae>Sulfuritalea>Sulfuritalea&nbsp;hydrogenivorans"
"Betaproteobacteria><wbr>...><wbr>Dechloromonas aromatica RCB"	"-"	159087	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Azonexaceae>Dechloromonas>Dechloromonas&nbsp;aromatica"
"Alphaproteobacteria><wbr>...><wbr>Liberibacter crescens"	"S"	1273132	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Liberibacter"
"Alphaproteobacteria><wbr>...><wbr>Rhizobium/Agrobacterium group"	"-"	227290	3	NA	1	3	1	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
