"Percentage"	"CladeReads"	"TaxonReads"	"TaxRank"	"TaxID"	"Name"	"Depth"	"TaxLineage"
96.6105	1803	474	"-"	1	"-_root"	0	"-_root"
95.9797	1328	127	"-"	131567	"-_cellular organisms"	1	"-_root|-_cellular organisms"
94.2703	41	10	"D"	2759	"d_Eukaryota"	2	"-_root|-_cellular organisms|d_Eukaryota"
0.041173	31	0	"-"	33154	"-_Opisthokonta"	3	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta"
0.041173	31	0	"K"	4751	"k_Fungi"	4	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi"
0.041173	31	0	"-"	451864	"-_Dikarya"	5	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya"
0.0385167	29	0	"P"	4890	"p_Ascomycota"	6	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota"
0.0371885	28	0	"-"	716545	"-_saccharomyceta"	7	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta"
0.0332041	25	0	"-"	147538	"-_Pezizomycotina"	8	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina"
0.0332041	25	0	"-"	716546	"-_leotiomyceta"	9	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta"
0.0199224	15	0	"-"	715962	"-_dothideomyceta"	10	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta"
0.0199224	15	0	"C"	147541	"c_Dothideomycetes"	11	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes"
0.0199224	15	0	"-"	451868	"-_Pleosporomycetidae"	12	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae"
0.0199224	15	0	"O"	92860	"o_Pleosporales"	13	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales"
0.0199224	15	0	"-"	715340	"-_Pleosporineae"	14	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales|-_Pleosporineae"
0.00929714	7	0	"F"	5020	"f_Phaeosphaeriaceae"	15	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales|-_Pleosporineae|f_Phaeosphaeriaceae"
0.00929714	7	0	"G"	1351751	"g_Parastagonospora"	16	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales|-_Pleosporineae|f_Phaeosphaeriaceae|g_Parastagonospora"
0.00929714	7	7	"S"	13684	"s_Parastagonospora nodorum"	17	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales|-_Pleosporineae|f_Phaeosphaeriaceae|g_Parastagonospora|s_Parastagonospora nodorum"
0.00929714	7	0	"F"	683158	"f_Didymellaceae"	15	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales|-_Pleosporineae|f_Didymellaceae"
0.00929714	7	0	"G"	5453	"g_Ascochyta"	16	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales|-_Pleosporineae|f_Didymellaceae|g_Ascochyta"
